text_string,sport
people  say  birth  control  poison  pro  life  anti  white  suburban  soccer  mom  sell  pyramid  scheme  essential  oil  energy,soccer
tailgating  soccer  mascot,soccer
weird  writer  city  make  dumb  joke  soccer  team  championship  last  year  like  want  get  fan  base  arguing  guess  realize  many  u  fan  team,soccer
saw  boy  used  play  soccer  kid  got  hot,soccer
cardinal  personnel  back  eligible  ran  wrong  way  though  giving  free  point  like  soccer  score  opponent  goal  reap  point  rough,soccer
lot  focus  today  football  recent  past  hopefully  part  brighter  future  good  chat  week  life  change,soccer
ya  credited  team  defense  victorious,soccer
post  soccer  quiet  time,soccer
esp  love  guy  rock  soccer  team  follow,soccer
recap  men  soccer  take  care  business  bounce  providence  tallied  goal,soccer
badger  best  lion,soccer
