likes,sport,followers,statuses_count,text_stemmed,text_lemmatized,text_string
0,soccer,360,162743,"['soccer', 'favor']","['soccer', 'favor']",soccer  favor
1,soccer,3554,3787,"['recap', 'continu', 'take', 'three', 'point', 'action', 'win', 'thank', 'golden', 'goal', 'read']","['recap', 'continue', 'take', 'three', 'point', 'action', 'win', 'thanks', 'golden', 'goal', 'read']",recap  continue  take  three  point  action  win  thanks  golden  goal  read
0,soccer,763,84012,"['two', 'best', 'team', 'citi', 'soccer', 'team', 'basebal', 'team', 'mad', 'mad']","['two', 'best', 'team', 'city', 'soccer', 'team', 'baseball', 'team', 'mad', 'mad']",two  best  team  city  soccer  team  baseball  team  mad  mad
3,soccer,161,16324,"['imposs', 'soccer', 'nigger']","['impossible', 'soccer', 'nigger']",impossible  soccer  nigger
0,soccer,597,26021,"['never', 'see', 'pro', 'accid', 'soccer', 'fan', 'mad', 'shit']","['never', 'see', 'pro', 'accident', 'soccer', 'fan', 'mad', 'shit']",never  see  pro  accident  soccer  fan  mad  shit
0,soccer,863,1594,"['goal', 'th', 'minut']","['goal', 'th', 'minute']",goal  th  minute
6,soccer,98,36,"['reed', 'girl', 'boy', 'soccer', 'team', 'first', 'place', 'right', 'undef', 'leagu', 'play']","['reed', 'girl', 'boy', 'soccer', 'team', 'first', 'place', 'right', 'undefeated', 'league', 'play']",reed  girl  boy  soccer  team  first  place  right  undefeated  league  play
0,soccer,792,11029,"['talk', 'soccer']","['talking', 'soccer']",talking  soccer
0,soccer,78,327,"['soccer', 'famili', 'time', 'daddi', 'enjoy', 'game', 'red', 'bull', 'arena']","['soccer', 'family', 'time', 'daddy', 'enjoy', 'game', 'red', 'bull', 'arena']",soccer  family  time  daddy  enjoy  game  red  bull  arena
0,soccer,119,6304,"['stay', 'healthi', 'saw', 'tweet', 'yea', 'amount', 'injuri', 'amp', 'one', 'hard', 'think', 'someth', 'go', 'staff', 'condit', 'cant', 'rememb', 'soccer', 'team', 'also', 'problem']","['stay', 'healthy', 'saw', 'tweet', 'yea', 'amount', 'injury', 'amp', 'one', 'hard', 'think', 'something', 'going', 'staff', 'conditioning', 'cant', 'remember', 'soccer', 'team', 'also', 'problem']",stay  healthy  saw  tweet  yea  amount  injury  amp  one  hard  think  something  going  staff  conditioning  cant  remember  soccer  team  also  problem
92,soccer,409,176,"['week', 'mean', 'spirit', 'week', 'senior', 'night', 'soccer', 'senior', 'night', 'pep', 'ralli', 'tailgat', 'amp', 'cookout', 'footbal', 'night', 'homecom', 'best', 'week', 'year', 'best']","['week', 'mean', 'spirit', 'week', 'senior', 'night', 'soccer', 'senior', 'night', 'pep', 'rally', 'tailgate', 'amp', 'cookout', 'football', 'night', 'homecoming', 'best', 'week', 'year', 'best']",week  mean  spirit  week  senior  night  soccer  senior  night  pep  rally  tailgate  amp  cookout  football  night  homecoming  best  week  year  best
